barcode,description,external_id,name,kcal,protein,carbs,fat,fiber,sugar,sodium,magnesium,vitamin_c,vitamin_d
852043003643,"Arugula, baby, raw",1882390,"Blue Print, Cold Pressed Juice, Arugula Kale Apple Romaine Celery Cucumber Lemon Ginger, Arugula Kale Apple Romaine Celery Cucumber Lemon Ginger",26.41,0.63,5.5,0.21,0.2,0,12,0,3.8,0
853555003404,"Cheese, swiss",2061880,Cheese,403.3,28.6,0,32.1,0,0,643,0,0,0
854393003649,"Crustaceans, shrimp, farm raised, raw",2484651,Medium Cooked Shrimp,72.41,16.1,0,0.89,0,0,429,0,0,29
854631006036,"Grapes, red, seedless, raw",1983090,"Grape Sorbatto, Grape",91.79,0.63,20.9,0.63,1.3,0,633,0,0,0
855868002044,"Beans, snap, green, raw",2652057,"Black Bean Chili, Black Bean",35.46,1.76,6.61,0.22,1.3,0,148,0,0,0
859002004062,"Nectarines, raw",1903929,Sliced Nectarines,47.12,1.18,10.6,0,2.4,0,0,0,1.4,0
859033603869,"Fish, tilapia, farm raised, raw",1889459,Silver Fish,85.48,18.4,0,1.32,0,0,70,0,0,0
859165002332,"Sausage, turkey, breakfast links, mild, raw",2069211,Chicken Sausage,160.53,18.3,2.82,8.45,0,0,789,0,25.4,0
860001806434,"Cucumber, with peel, raw",2593748,"Cucumber Melon Kombucha, Cucumber Melon",13.52,0.28,3.1,0,0,0,0,0,0,0
860150001407,"Plantains, ripe, raw",2474515,Plantain Tortillas,124.4,0,31.1,0,2.2,0,733,33,11.1,0
860150001407,"Plantains, overripe, raw",2474515,Plantain Tortillas,124.4,0,31.1,0,2.2,0,733,33,11.1,0
861420000151,"Flour, spelt, whole grain",1897135,"Pumpkin Flour, Organic Pumpkin Flour",374.93,14.3,71.4,3.57,14.3,0,25,0,0,0
873668003825,"Mango, Tommy Atkins, peeled, raw",2402948,Mangos,66.92,0.72,15.2,0.36,1.4,0,0,0,36.2,0
882694944019,"Tuna, ahi or yellowfin, frozen, wild caught",2421200,"Tuna Wild Caught Premium Seafood, Tuna",101.55,24.6,0,0.35,0,0,46,0,0,0
884730006804,"Bison, ground, raw",2396424,Ground Bison,166.78,19.6,0,9.82,0,0,58,0,0,0
885616003955,"Peppers, bell, yellow, raw",1759691,"Pepperoncini Peppers, Pepperoncini Peppers",29.36,0.67,6.67,0,3.3,0,1670,0,12,0
887434310475,"Apricot, with skin, raw",2062044,Gourmet Apricots,45.6,0,11.4,0,2.9,0,0,0,10.3,0
891502000106,"Bread, white, commercially prepared",1889936,Miga Bread,265.74,10,50,2.86,1.4,0,457,0,0,0
893216001028,"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",1915143,Wild Caught Maine Lobster Meat,85,19,0,1,0,0,296,0,0,0
893265001550,"Kiwifruit (kiwi), green, peeled, raw",475535,Kiwifruit,62.84,0.68,13.5,0.68,2.7,0,0,0,97.3,0
893648001238,"Garlic, raw",2671029,"Garlic Paste, Garlic",142.96,7.14,28.6,0,0,0,714,0,0,0
2002896009721,"Lamb, ground, raw",578159,All Natural Ground Lamb,232.7,17.9,0,17.9,0,0,58,0,0,0
8007559204240,"Cheese, monterey jack, solid",2089626,Cheese,374.5,21.4,0,32.1,0,0,786,0,0,0
8824808830650,"Soy milk, unsweetened, plain, shelf stable",2640901,Natural Soy Bean Milk,56.28,3.16,2.63,3.68,0,0,74,0,0,0
9414456001121,"Anchovies, canned in olive oil, with salt, drained",2183065,Marazul Anchovy Fillets in Sunflower Oil 78g,206.2,26,0.8,11,0,0,5600,0,0,0
