barcode,description,external_id,name,kcal,protein,carbs,fat,fiber,sugar,sodium,magnesium,vitamin_c,vitamin_d
36035700028,"Bread, whole-wheat, commercially prepared",2054492,Bakery Bread,263.29,11.8,44.1,4.41,5.9,0,559,0,0,0
36632027238,"Yogurt, plain, nonfat",2185701,"Nonfat Yogurt, Nonfat Yogurt",44.72,2.94,8.24,0,0,0,44,0,0,35
37600307119,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",2139087,Ham,96.53,16.1,0,3.57,0,0,857,0,0,0
37600814058,"Pork, chop, center cut, raw",2430401,"Shredded & Seasoned Pork Carnitas, Pork",153.08,24.5,0,6.12,0,0,612,0,0,0
38259120071,"Blackeye pea, dry",2425912,Blackeye Peas with Ham Seasoning,357.34,20,62.9,2.86,17.1,0,257,0,0,0
39153101425,"Leeks, bulb and greens, root removed, raw",2081296,"Beef Stock in a Box, Beef",6.68,1.25,0.42,0,0,0,200,0,0,0
39978014535,"Flour, rice, glutinous",2632582,Baking Flour,346.04,5.41,81.1,0,2.7,0,27,0,0,0
39978103017,"Flour, potato",2667706,Barley Flour,375.03,10,80,1.67,10,0,0,0,0,0
39978113412,"Khorasan, grain, dry, raw",2404942,"Whole Grain Stone Ground Kamut Flour, Whole Grain",372.5,15,72.5,2.5,10,0,0,0,0,0
40232393655,"Flour, barley",2397511,"Brown Rice Flour, Flour",376.73,8.89,77.8,3.33,4.4,0,0,0,0,0
40232423130,"Oil, olive, extra light",2161852,Sunflower Oil & Avocado Oil,0,0,0,0,0,0,0,0,0,0
40822345293,"Hummus, commercial",2596170,Classic Hummus,246.86,7.14,14.3,17.9,3.6,0,429,0,0,0
41188041836,"Tomato, sauce, canned, with salt added",2008895,"Tomato Puree, Tomato",31.76,1.59,6.35,0,1.6,0,63,0,9.5,0
41190012695,"Tomato, puree, canned",2619273,"Tomato Puree, Tomato",38.12,1.59,7.94,0,1.6,0,24,0,0,0
41220102563,"Applesauce, unsweetened, with added vitamin C",2009491,Unsweetened Applesauce,49.2,0,12.3,0,1.6,0,4,0,1,0
41220112104,"Carrots, mature, raw",2575996,Carrots,46.32,1.28,10.3,0,2.6,0,83,0,7.7,0
41220335572,"Cranberry juice, not fortified, from concentrate, shelf stable",2601209,"Cranberry 100% Juice, Cranberry",28.32,0,7.08,0,0,0,15,0,0,0
41220622610,"Broccoli, raw",2621245,"Broccoli Slaw, Broccoli",32.92,2.35,5.88,0,2.4,0,29,0,0,0
41220760695,"Turnips, raw",2621263,Turnip Greens,32.96,1.18,7.06,0,3.5,0,41,0,60,0
41220804641,"Kale, frozen, cooked, boiled, drained, without salt",2576392,"Turkey Sausage & Kale Soup, Turkey Sausage & Kale",43.38,2.64,5.73,1.1,1.1,0,359,0,0,0
41244006427,"Apples, honeycrisp, with skin, raw",2596270,"Apple Juice, Apple",60.08,0.42,14.6,0,0,0,0,0,0,0
41268167944,"Lentils, dry",2431290,Lentils,360.32,22.9,62.5,2.08,20.8,0,10,0,0,0
41331050838,"Corn flour, masa harina, white or yellow, dry, raw",1869031,Instant Corn Masa Flour,372,7,77,4,7,0,0,0,0,0
41331091053,"Plantains, underripe, raw",2629570,Baked Ripe Plantains,160.14,2.27,35.2,1.14,2.3,0,0,0,0,0
41415019454,"Swordfish, frozen, wild caught",2467328,Swordfish Steaks,140.26,19,0,7.14,0,0,119,0,0,667
41443119324,"Blackeye pea, canned, sodium added, drained and rinsed",1901707,"Blackeye Peas, Seasoned",105.11,7.09,18.4,0.35,4.3,0,560,0,0.9,0
41493647402,"Sugars, granulated",2021609,Sugar,400,0,100,0,0,0,0,0,0,0
41497031344,"Mango, Ataulfo, peeled, raw",2021632,Mango,73.95,0.61,17,0.39,1.8,0,2,0,27.6,0
41497099993,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",2475001,Milk,51.53,3.38,5.07,1.97,0,0,48,0,0,45
41497341566,"Flour, semolina, fine",2023830,Bread Flour,361.43,13.3,73.3,1.67,3.3,0,0,0,0,0
41512145186,"Egg, whole, raw, frozen, pasteurized",578455,Eggs,138,12,0,10,0,0,140,0,0,0
41512145186,"Eggs, Grade A, Large, egg whole",578455,Eggs,138,12,0,10,0,0,140,0,0,0
41512169472,"Radicchio, raw",2387087,"Blend of Baby Lettuces & Greens Organic Spring Mix, Blend of Baby Lettuces & Greens",25.36,1.41,4.93,0,1.4,0,113,0,0,0
41800380008,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",2275517,"Grape Juice, Grape",63.56,0.29,15.6,0,0,0,4,0,26.5,0
42272005512,"Beans, pinto, canned, sodium added, drained and rinsed",2672968,"Black Beans Refried Beans, Black Beans",125.39,6.15,20,2.31,4.6,0,338,0,0,0
45255151213,"Flaxseed, ground",2577482,"Hatch Chile with Chia & Flaxseed, Hatch Chile",547.9,17.2,34.5,37.9,10.3,0,103,0,0,0
45635291553,"Juice, tart cherry, from concentrate, shelf-stable",569064,Juice,0,0,0,0,0,0,0,0,24,0
46567031453,"Bulgur, dry, raw",2105045,Bulgur & Quinoa Grain Mix,366.78,11.1,75.6,2.22,8.9,0,0,0,0,0
48800036027,"Asparagus, green, raw",2158186,"Asparagus Stir Fry, Asparagus",25,1.04,5.21,0,1,0,26,0,6.2,0
49022854413,"Melons, cantaloupe, raw",2633820,Cantaloupe Melon,36.04,0.78,8.23,0,0.8,0,16,0,0,0
49022950177,"Olives, green, Manzanilla, stuffed with pimiento",2678631,Queen Olives,137.5,0,6.25,12.5,0,0,2000,0,0,0
49646123001,"Mushrooms, white button",2487241,"Mushrooms Hot Pickled, Mushrooms",24.52,2.53,3.6,0,0,0,5,0,0,53
49646990108,"Beef, top sirloin steak, raw",2056092,Beef,132.92,20,0,5.88,0,0,212,0,0,0
51000272485,"Mushroom, beech",1728651,"Mushroom Italian Sauce, Mushroom",44.61,1.67,6.67,1.25,1.7,0,400,0,0,0
51933376625,"Green onion, (scallion), bulb and greens, root removed, raw",2375018,"Pepper & Onion Medley Red and Green Bell Peppers with Onions, Pepper & Onion Medley",4.76,1.18,0.01,0,1.2,0,141,0,0,0
60886402039,"Lobster, tail only, frozen, wild caught",2428441,Frozen Lobster Meat,52.71,11.8,0.59,0.35,0,0,732,0,0,0
70038638735,"Raspberries, raw",2502452,Raspberries,63.71,1.43,12.9,0.71,4.3,0,4,0,17.9,0
70506010445,"Onions, red, raw",2567726,"Garlic & Onion Sauce, Garlic & Onion",49.6,0.8,8,1.6,1.6,0,464,0,0,0
70784402970,"Bananas, ripe and slightly ripe, raw",2253421,"Banana Pudding Cups, Banana",110.52,1.01,23.2,1.52,0,0,136,0,0,0
71262295039,"Beans, great northern, canned, sodium added, drained and rinsed",2180044,"Black Bean Soup, Black Bean",108.13,6.1,18.3,1.17,4.2,0,197,0,4.2,0
71518000752,"Sorghum flour, white, pearled, unenriched, dry, raw",1891048,Sorghum Quinoa & Brown Rice,365.41,9.52,73.8,3.57,4.8,0,571,0,2.9,0
71518000769,"Sorghum, whole grain, white, dry, raw",2679700,Sorghum Quinoa & Brown Rice,376.12,9.52,73.8,4.76,2.4,0,595,0,0,0
71700209819,"Cream, sour, full fat",2083070,"Light Cream, Light Cream",220,3.33,6.67,20,0,0,67,0,0,0
72036982094,"Sauce, salsa, ready-to-serve",2010041,Sauce,32.8,1.64,6.56,0,1.6,0,33,0,3.9,0
72050907554,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",1909135,Milk,35,3.33,5.42,0,0,0,54,0,1,42
72368426273,"Tomatoes, grape, raw",2066269,"Tomato Puree, Tomato",30.75,0.91,5.45,0.59,0.9,0,164,0,10.9,0
72488981102,"Almond butter, creamy",2063073,Roasted Almond Butter,640.9,20.6,20.6,52.9,11.8,0,0,0,0,0
72488982024,"Peanut butter, creamy",2063079,Peanut Butter,638.8,25,22.2,50,8.3,0,0,0,0,0
72700100779,"Fish, cod, Atlantic, wild caught, raw",1943184,Gefilte Fish with Carrots,83.66,15.2,0,2.54,0,0,712,0,2,0
73296480078,"Cheese, cheddar",2016892,Cheese,403.18,25,3.57,32.1,0,0,643,0,0,0
73416004320,"Wild rice, dry, raw",2623495,Organic Wild Rice,365.59,13.3,75.6,1.11,6.7,0,0,0,0,0
73416402515,"Rice, brown, long grain, unenriched, raw",2125901,Organic Golden Rice Brown Rice,349.06,6.67,75.6,2.22,2.2,0,0,0,0,0
74329123412,"Beans, snap, green, canned, regular pack, drained solids",2398274,"Cool Beans Pickled Green Beans, Cool Beans",24,0,6,0,2,0,1200,0,0,0
75391026069,"Snapper, frozen, wild caught",1460133,Snapper Fillet,94.65,20.4,0.27,1.33,0,0,62,0,0.1,0
75391058831,"Snow crab, legs only, frozen  ",1457743,Snow Crab Leg Meat,62,15.5,0,0,0,0,726,0,0,0
75450126297,"Rice, red, unenriched, dry, raw",2072221,Arborio Rice,366.74,8.89,77.8,2.22,2.2,0,0,0,0,0
76808010794,"Chickpeas, (garbanzo beans, bengal gram), dry",2603491,"Chickpea Orzo, Chickpea",384.65,21.4,60.7,6.25,14.3,0,0,127,0,0
77449503775,"Nuts, almonds, whole, raw",1900839,Mixed Nuts,641.6,22.2,19.4,52.8,8.3,0,319,0,0,0
77561052137,"Frankfurter, beef, unheated",2616830,"Thumann's Frankfurters, 3 Lbs",306.12,11.8,2.63,27.6,1.3,0,947,0,19.7,0
77782003376,"Sausage, Italian, pork, mild, cooked, pan-fried",2676314,Summer Sausage,319.96,17.9,1.79,26.8,0,0,1210,0,0,0
77782004113,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",1938429,Italian Sausage,346.32,18.1,2.78,29.2,0,0,681,0,0,0
77890271513,"Cabbage, bok choy, raw",2146840,"Romaine Lettuce, Shredded Carrots & Red Cabbage Salad, Romaine Lettuce, Shredded Carrots & Red Cabbage",18.84,1.18,3.53,0,2.4,0,18,0,0,0
77890399941,"Mandarin, seedless, peeled, raw",1888254,Mandarin Oranges,57.64,1.11,13.3,0,2.2,0,0,0,26.7,0
77890495599,"Pears, raw, bartlett",2152206,Bartlett Pears,62.8,0.6,15.1,0,3.6,0,0,0,0,0
78264039081,"Nuts, brazilnuts, raw",2042179,Mixed Nuts,656.7,14.3,21.4,57.1,7.1,0,307,0,0,0
78716909429,"Egg, whole, dried",2096464,Dried Egg Product Whole Eggs,531.3,46.2,0,38.5,0,0,692,0,0,0
78742204734,"Pineapple, raw",2549919,"Pineapple Tidbits in Pineapple Juice, Pineapple Juice",58.16,0.44,14.1,0,0.9,0,0,0,0,0
78742256160,"Tomatoes, whole, canned, solids and liquids, with salt added",2401594,"Whole Tomatoes in Tomato Juice, Tomato",19.84,0.83,4.13,0,0.8,0,182,0,0,0
79893125794,"Sea bass, Chilean, frozen, wild caught",2634454,Wild Caught Chilean Sea Bass Fillets,195.86,15.3,0.59,14.7,0,0,94,0,0,0
79893126531,"Halibut, frozen, wild caught",2634455,Wild Caught Pacific Halibut Fillets,85.82,18.8,0,1.18,0,0,71,0,0,5
79893409184,"Kale, raw",2505655,Kale,44.08,2.35,4.71,1.76,3.5,0,53,0,0,0
85239032398,"Chicken, wing, meat and skin, raw",2660646,"Chicken Drumsticks, Chicken",151.97,17.9,0,8.93,0,0,107,0,0,0
85239200810,"Chicken, breast, meat and skin, raw",2661756,"Chicken Burgers, Chicken",145.41,21.4,0.89,6.25,0,0,76,0,0,0
92538000508,"Carrots, baby, raw",2178032,"Carrot Sticks, Carrot",41.84,1.16,9.3,0,2.3,0,70,0,0,0
94379303060,"Buckwheat, whole grain",2115066,Roasted Buckwheat,348.78,11.1,71.1,2.22,8.9,0,0,0,0,0
95829400490,"Peppers, serrano, seeded, raw",2060308,Peppers,28.24,1.18,5.88,0,1.2,0,0,0,191,0
95829420368,"Squash, summer, yellow, includes skin, raw",2060309,Fresh Yellow Squash,22.74,1.02,4.08,0.26,1,0,2,0,18.4,0
95829420924,"Eggplant, raw",2626300,Eggplants,28.24,1.18,5.88,0,3.5,0,0,0,2.8,0
99482412289,"Cream cheese, full fat, block",2396166,"Whipped Cream Cheese, Cream",355,5,5,35,0,0,350,0,0,0
99482508333,"Pork, ground, raw",2422848,"Breakfast Pork Sausage, Breakfast Pork",235.8,17.1,0,18.6,0,0,671,0,0,0
184739002495,"Blackberries, raw",2423541,"Blackberry Water Infused with Blackberry Essence, Blackberry",0,0,0,0,0,0,0,0,0,0
207324000000,"Ham, sliced, restaurant",2641766,Uncured Ham,117.69,19.6,1.79,3.57,0,0,696,0,2.1,0
603028000009,"Seeds, sunflower seed, kernel, raw",2129494,"Superfood Almond Butter with Chia Seeds, Hemp Seeds, & Goji, Chia Seeds, Hemp Seeds, & Goji",597.3,18.8,25,46.9,12.5,0,94,0,0,0
607880011098,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",2102195,Whole Onion Rings,282.48,4.82,36.1,13.2,1.2,0,337,0,4.3,0
614583624463,"Squid (calamari), frozen, tubes only",2094460,Calamari Rings,45.85,9,1,0.65,0,0,630,0,0,0
